,Computed Tc,1000/Tc,Tig,Error
100% DME,607,1.64744645799012,66.56,11.4044149345769
100% DME,618,1.61812297734628,37.59,8.6860562589321
100% DME,628,1.59235668789809,21.06,0.94667840368311
100% DME,640,1.5625,10.5,0.627598597831449
100% DME,650.1627,1.5380765460707,5.92,1.71004873224907
75% DME,610.465748653409,1.63809354121151,196.03,28.6129061788557
75% DME,622.59907028752,1.60617008235845,69.11,6.15352581858563
75% DME,626.590571382147,1.59593847349822,39.1,4.00745305649361
75% DME,637.468006777708,1.56870617720069,20.57,1.27451951730839
75% DME,653.156400786682,1.53102687012723,9.63,1.98899639684607
75% DME,662.87990741455,1.50856888074995,5.36,0.25432262974419
75% DME,671,1.4903129657228,4.14,0.932244603095132
50% DME,620.589979098007,1.61136987976094,213.79,79.0752464428661
50% DME,629.848546459189,1.5876832702428,120.46,9.08877989611367
50% DME,643.297505332128,1.55449071652114,57.67,12.1273542044421
50% DME,652.543189823816,1.53246561391591,30.61,1.77388838431283
50% DME,665.231193560586,1.50323678396318,15.6,2.77472160765724
50% DME,676.32550390046,1.47857798387443,9.95,1.05246377609873
50% DME,681.212421817412,1.46797088246291,10.76,0.528280228666567
50% DME,686.439653328083,1.45679229798523,7.05,0.715681493403316
50% DME,690.642358328968,1.44792740836159,6.72,0.308090895678532
50% DME,692.579377307556,1.44387781785759,6.65,1.59943323295056
50% DME,699.360023980992,1.4298786972519,3.46,1.03734275916883
25% DME,687.834958624077,1.45383712686015,237.08,48.8084349267624
25% DME,693.323247400951,1.44232867388867,170.1,9.1975061837435
25% DME,701.540351631181,1.42543475606907,142.32,11.7613230548268
25% DME,711.41226099327,1.4056547164422,95.37,8.42151292820952
25% DME,712.61857757231,1.40327523232234,81.89,16.1681749124631
25% DME,722.200123797228,1.38465775212297,72.47,2.25753848250699
25% DME,725.977694544826,1.37745278885873,61.26,1.54819895362321
25% DME,729.866027349166,1.37011446283087,54.56,2.41365283336274
25% DME,735.993415451489,1.35870780771396,46.08,3.14078334177956
25% DME,746.424216722762,1.33972073466558,31.9,1.50801856752495
25% DME,747.825324094288,1.33721066642284,35.88,1.92838792777802
25% DME,757.192118146659,1.32066879202025,28.19,1.06761416251378
25% DME,759.117144344567,1.31731974103077,23.74,1.19711319431372
25% DME,767.689881078306,1.30260932786477,22.79,1.04217081133565
25% DME,775.575720420207,1.28936475662002,17.35,1.23607443141584
0% DME,799.22131269806,1.25121788434813,98.572,0.610966447523919
0% DME,814.904850650489,1.22713713042911,50.488,4.36484593084338
0% DME,825.592297466519,1.21125161059361,35.688,5.49598762735143
0% DME,840.998549279765,1.18906269321916,22.036,1.03369241072961
0% DME,849.38204172334,1.1773265160764,12.69,1.13057507490657
0% DME,862.71605092688,1.15912993496021,8.18,1.17200682591869
0% DME,874.139521770669,1.1439821391148,3.424,1.70208107914987
0% DME,875.088446767763,1.14274163222428,4.668,0.374326061075101
